LGA_NAME,REGION,PLAYER_LOSS_SEP_25,NUM_EGMS,NUM_VENUES
CITY OF WHITTLESEA,Metro,13662025.77,781.00, 12 
SHIRE OF NORTHERN GRAMPIANS,Country,963189.63,168.00, 4 
CITY OF GREATER GEELONG,Country,12434106.37,1390.00, 26 
SHIRE OF COLAC-OTWAY,Country,1020408.31,158.00, 7 
SHIRE OF MOORABOOL,Country,1428303.70,167.00, 5 
SHIRE OF CENTRAL GOLDFIELDS,Country,1142484.94,129.00, 3 
SHIRE OF MITCHELL,Country,2544369.64,313.00, 7 
SHIRE OF ALPINE,Country,284397.31,68.00, 3 
RURAL CITY OF BENALLA,Country,1363609.13,240.00, 6 
SHIRE OF CAMPASPE,Country,1309858.81,266.00, 5 
SHIRE OF GLENELG,Country,1594735.24,195.00, 6 
Shire of Wellington,Country,2341384.57,318.00, 7 
Rural City of Wodonga,Country,971975.82,150.00, 3 
City of Warrnambool,Country,2075499.19,234.00, 8 
City of Greater Bendigo,Country,5589822.20,662.00, 11 
City of Ballarat,Country,5776139.80,652.00, 14 
Rural City of Swan Hill,Country,750529.79,159.00, 4 
City of Greater Shepparton,Country,3852744.26,326.00, 8 
Rural City of Mildura,Country,3499132.97,281.00, 8 
Shire of East Gippsland,Country,2729275.94,332.00, 10 
Shire of Bass Coast,Country,1684010.85,213.00, 5 
City of Latrobe,Country,4295449.37,522.00, 13 
Shire of Surf Coast,Country,458972.54,89.00, 3 
Shire of South Gippsland,Country,650143.03,105.00, 4 
Shire of Macedon Ranges,Country,873637.32,103.00, 3 
Rural City of Horsham,Country,1254907.06,153.00, 3 
Shire of Baw Baw,Country,2073206.26,238.00, 4 
Rural City of Wangaratta,Country,882830.98,154.00, 4 
City of Melbourne,Metro,8996580.03,754.00, 10 
City of Moreland,Metro,5664790.70,639.00, 12 
City of Darebin,Metro,6835712.08,714.00, 11 
City of Boroondara,Metro,1692354.86,162.00, 4 
City of Whitehorse,Metro,5721775.76,431.00, 6 
City of Manningham,Metro,5282866.50,462.00, 6 
City of Banyule,Metro,4992010.97,635.00, 9 
City of Maroondah,Metro,5427609.71,640.00, 8 
City of Knox,Metro,6939946.09,770.00, 11 
City of Monash,Metro,11229158.45,955.00, 15 
City of Port Phillip,Metro,2724617.03,377.00, 10 
City of Kingston,Metro,7183798.75,898.00, 16 
City of Greater Dandenong,Metro,12341703.43,928.00, 14 
City of Frankston,Metro,5871953.25,519.00, 9 
City of Casey,Metro,14473339.04,913.00, 13 
Shire of Cardinia,Metro,3437389.32,405.00, 6 
Shire of Yarra Ranges,Metro,2771735.82,452.00, 9 
City of Hume,Metro,13336096.80,833.00, 14 
City of Brimbank,Metro,15621251.10,953.00, 15 
Shire of Melton,Metro,8531336.95,523.00, 7 
City of Hobsons Bay,Metro,4357658.32,535.00, 9 
City of Wyndham,Metro,12292325.00,973.00, 14 
Shire of Mornington Peninsula,Metro,7249838.01,765.00, 16 
City of Yarra,Metro,2838056.82,288.00, 7 
City of Maribyrnong,Metro,5657786.83,471.00, 9 
City of Stonnington,Metro,1498145.29,199.00, 4 
City of Glen Eira,Metro,6673593.91,627.00, 8 
City of Bayside,Metro,1035546.58,138.00, 3 
City of Moonee Valley,Metro,7538675.49,746.00, 11 
