LGA_NAME,REGION,EXPENDITURE_PER_ADULT_2024,EGM_DENSITY_2024,SEIFA_SCORE,POPULATION_2024,NET_EXPENDITURE_2024
City of Whittlesea,Metro,732.00,4.00,980.82,189811.00,139026831.82
Shire of Nillumbik,Metro,190.00,2.00,1088.10,49430.00,9368870.02
Rural City of Ararat,Country,638.00,9.00,931.90,9809.00,6256569.22
Shire of Northern Grampians,Country,468.00,8.00,920.66,9800.00,4590890.10
Borough of Queenscliffe,Country,408.00,10.00,1067.20,2885.00,1176843.43
City of Greater Geelong,Country,587.00,6.00,989.57,229523.00,134811043.09
Shire of Corangamite,Country,295.00,4.00,954.63,12836.00,3785427.49
Shire of Colac-Otway,Country,426.00,6.00,938.05,18133.00,7723366.71
Shire of Hepburn,Country,247.00,4.00,983.91,14158.00,3491644.65
Shire of Moorabool,Country,334.00,4.00,987.16,31105.00,10391902.96
Shire of Central Goldfields,Country,732.00,9.00,867.23,11305.00,8278358.69
Shire of Mount Alexander,Country,184.00,2.00,986.78,17271.00,3171764.14
Shire of Mansfield,Country,195.00,5.00,988.56,8491.00,1652829.25
Shire of Murrindindi,Country,124.00,2.00,970.81,12959.00,1612711.97
Shire of Mitchell,Country,501.00,5.00,968.23,44396.00,22222664.66
Shire of Towong,Country,86.00,2.00,968.34,5088.00,436036.15
Shire of Alpine,Country,263.00,5.00,988.93,10931.00,2877179.41
Shire of Moira,Country,246.00,4.00,926.74,24986.00,6137825.65
Shire of Strathbogie,Country,237.00,3.00,954.18,9855.00,2332739.66
Rural City of Benalla,Country,520.00,9.00,938.40,12122.00,6307206.38
Shire of Gannawarra,Country,270.00,5.00,919.38,8559.00,2309731.08
Shire of Campaspe,Country,356.00,7.00,931.76,31137.00,11094363.63
Shire of Glenelg,Country,505.00,7.00,919.42,16484.00,8320328.12
Shire of Southern Grampians,Country,525.00,6.00,961.54,13098.00,6874736.64
Shire of Wellington,Country,703.00,8.00,942.68,37384.00,26291861.26
Rural City of Wodonga,Country,312.00,4.00,947.01,34604.00,10782766.81
City of Warrnambool,Country,808.00,8.00,961.07,28730.00,23211597.75
City of Greater Bendigo,Country,594.00,7.00,959.06,98693.00,58668802.26
City of Ballarat,Country,677.00,7.00,964.81,93882.00,63550282.39
Rural City of Swan Hill,Country,583.00,10.00,927.07,16574.00,9660479.47
City of Greater Shepparton,Country,789.00,6.00,931.13,54658.00,43126080.10
