LGA_NAME,REGION,EXPENDITURE_PER_ADULT,EGM_DENSITY,SEIFA_SCORE,UNEMPLOYMENT_RATE,YEAR
City of Whittlesea,Metro,732.00,4.00,980.82,5.0%,2024
Shire of Nillumbik,Metro,190.00,2.00,1088.10,1.8%,2024
Rural City of Ararat,Country,638.00,9.00,931.90,4.4%,2024
Shire of Northern Grampians,Country,468.00,8.00,920.66,4.0%,2024
Borough of Queenscliffe,Country,408.00,10.00,1067.20,1.3%,2024
City of Greater Geelong,Country,587.00,6.00,989.57,4.1%,2024
Shire of Corangamite,Country,295.00,4.00,954.63,1.6%,2024
Shire of Colac-Otway,Country,426.00,6.00,938.05,1.9%,2024
Shire of Hepburn,Country,247.00,4.00,983.91,3.0%,2024
Shire of Moorabool,Country,334.00,4.00,987.16,3.2%,2024
Shire of Central Goldfields,Country,732.00,9.00,867.23,9.0%,2024
Shire of Mount Alexander,Country,184.00,2.00,986.78,2.3%,2024
Shire of Mansfield,Country,195.00,5.00,988.56,1.7%,2024
Shire of Murrindindi,Country,124.00,2.00,970.81,3.5%,2024
Shire of Mitchell,Country,501.00,5.00,968.23,4.4%,2024
Shire of Towong,Country,86.00,2.00,968.34,2.4%,2024
Shire of Alpine,Country,263.00,5.00,988.93,1.8%,2024
Shire of Moira,Country,246.00,4.00,926.74,1.3%,2024
Shire of Strathbogie,Country,237.00,3.00,954.18,3.0%,2024
Rural City of Benalla,Country,520.00,9.00,938.40,4.2%,2024
Shire of Gannawarra,Country,270.00,5.00,919.38,3.3%,2024
Shire of Campaspe,Country,356.00,7.00,931.76,1.3%,2024
Shire of Glenelg,Country,505.00,7.00,919.42,2.9%,2024
Shire of Southern Grampians,Country,525.00,6.00,961.54,2.2%,2024
Shire of Wellington,Country,703.00,8.00,942.68,3.9%,2024
Rural City of Wodonga,Country,312.00,4.00,947.01,4.0%,2024
City of Warrnambool,Country,808.00,8.00,961.07,2.0%,2024
City of Greater Bendigo,Country,594.00,7.00,959.06,3.1%,2024
City of Ballarat,Country,677.00,7.00,964.81,4.7%,2024
Rural City of Swan Hill,Country,583.00,10.00,927.07,2.9%,2024
City of Greater Shepparton,Country,789.00,6.00,931.13,2.0%,2024
Rural City of Mildura,Country,812.00,6.00,922.27,4.1%,2024
Shire of East Gippsland,Country,738.00,8.00,930.85,5.0%,2024
Shire of Bass Coast,Country,581.00,6.00,957.50,3.3%,2024
City of Latrobe,Country,790.00,8.00,907.10,6.0%,2024
Shire of Surf Coast,Country,142.00,3.00,1075.79,1.5%,2024
Shire of South Gippsland,Country,285.00,4.00,965.99,2.5%,2024
Shire of Macedon Ranges,Country,236.00,3.00,1047.40,1.5%,2024
Rural City of Horsham,Country,726.00,10.00,959.11,2.9%,2024
Shire of Baw Baw,Country,424.00,5.00,971.13,2.6%,2024
Rural City of Wangaratta,Country,439.00,6.00,956.58,3.5%,2024
City of Melbourne,Metro,580.00,5.00,1085.52,4.2%,2024
City of Moreland,Metro,404.00,4.00,1049.42,4.8%,2024
City of Darebin,Metro,644.00,5.00,1044.20,5.1%,2024
City of Boroondara,Metro,133.00,1.00,1130.73,3.1%,2024
City of Whitehorse,Metro,412.00,3.00,1067.26,4.3%,2024
City of Manningham,Metro,558.00,4.00,1075.16,4.1%,2024
City of Banyule,Metro,566.00,6.00,1064.26,3.2%,2024
City of Maroondah,Metro,685.00,7.00,1034.66,3.9%,2024
City of Knox,Metro,590.00,6.00,1028.67,4.0%,2024
City of Monash,Metro,739.00,6.00,1066.96,2.0%,2024
City of Port Phillip,Metro,301.00,4.00,1105.73,4.3%,2024
City of Kingston,Metro,658.00,7.00,1048.23,3.3%,2024
City of Greater Dandenong,Metro,1055.00,7.00,917.86,6.4%,2024
City of Frankston,Metro,583.00,5.00,982.11,4.0%,2024
City of Casey,Metro,531.00,3.00,986.34,4.6%,2024
Shire of Cardinia,Metro,381.00,4.00,992.89,3.5%,2024
Shire of Yarra Ranges,Metro,243.00,4.00,1014.13,3.9%,2024
City of Hume,Metro,696.00,4.00,948.57,7.2%,2024
City of Brimbank,Metro,1076.00,6.00,928.42,5.9%,2024
Shire of Melton,Metro,570.00,3.00,973.90,5.2%,2024
City of Hobsons Bay,Metro,631.00,7.00,1034.27,2.8%,2024
City of Wyndham,Metro,524.00,4.00,1004.38,4.4%,2024
Shire of Mornington Peninsula,Metro,629.00,6.00,1016.21,2.6%,2024
City of Yarra,Metro,337.00,3.00,1107.86,4.8%,2024
City of Maribyrnong,Metro,843.00,6.00,1044.59,4.0%,2024
City of Stonnington,Metro,203.00,2.00,1129.99,2.5%,2024
City of Glen Eira,Metro,575.00,5.00,1102.85,2.8%,2024
City of Bayside,Metro,150.00,2.00,1127.13,2.1%,2024
City of Moonee Valley,Metro,820.00,7.00,1059.76,3.9%,2024
Shire of Buloke,Country, -   , -   ,946.06,2.9%,2024
Shire of Golden Plains,Country, -   , -   ,996.95,2.8%,2024
Shire of Hindmarsh,Country, -   , -   ,922.83,3.7%,2024
Shire of Indigo,Country, -   , -   ,996.29,2.1%,2024
Shire of Loddon,Country, -   , -   ,924.81,4.0%,2024
Shire of Moyne,Country, -   , -   ,998.42,1.3%,2024
Shire of Pyrenees,Country, -   , -   ,929.26,5.3%,2024
Shire of West Wimmera,Country, -   , -   ,971.17,2.9%,2024
Shire of Yarriambiack,Country, -   , -   ,923.02,4.1%,2024
City of Whittlesea,Metro,367.32,3.76,982.00,8.4%,2021
Shire of Nillumbik,Metro,97.33,1.79,1093.00,3.5%,2021
Rural City of Ararat,Country,311.37,8.95,931.00,3.1%,2021
Shire of Northern Grampians,Country,261.53,8.72,921.00,3.1%,2021
Borough of Queenscliffe,Country,290.97,11.65,1070.00,2.7%,2021
City of Greater Geelong,Country,328.63,6.27,980.00,4.1%,2021
Shire of Corangamite,Country,129.75,4.57,959.00,3.0%,2021
Shire of Colac-Otway,Country,251.35,6.42,939.00,3.5%,2021
Shire of Hepburn,Country,141.48,4.31,979.00,5.4%,2021
Shire of Moorabool,Country,207.76,3.88,988.00,6.2%,2021
Shire of Central Goldfields,Country,397.88,9.06,870.00,10.6%,2021
Shire of Mount Alexander,Country,84.06,1.82,979.00,4.2%,2021
Shire of Mansfield,Country,120.76,5.46,986.00,2.9%,2021
Shire of Murrindindi,Country,78.11,2.04,973.00,5.0%,2021
Shire of Mitchell,Country,271.99,5.46,972.00,6.2%,2021
Shire of Towong,Country,28.42,2.01,974.00,2.9%,2021
Shire of Alpine,Country,150.85,5.57,970.00,3.3%,2021
Shire of Moira,Country,115.16,4.29,930.00,4.6%,2021
